Token,Wallet,EtherDelta,IDEX,Token store,Enclaves,Decentrex,Total,Bid (ETH),Estimated value (ETH),Token contract address
ERC,100,0,0,0,0,0,100,0.00000051,0.000051,0x26d5bd2dfeda983ecd6c39899e69dae6431dffbb
ETH,0.303786767999999999,0.010522163233882035,0.05,0,0,0,0.364308931233882034,,,Not a token
ETHB,25,0,0,0,0,0,25,0.000003125,0.000078125,0x3a26746ddb79b1b8e4450e3f4ffe3285a307387e
ETK,5,0,0,0,0,0,5,,,0x3c4a3ffd813a107febd57b2f01bc344264d90fde
EXMR,25,0,0,0,0,0,25,0.0000435,0.0010875,0xc98e0639c6d2ec037a615341c369666b110e80e5
FDZ,1318.5000000000000000000,0,0,0,0,0,1318.5000000000000000000,,,0x23352036e911a22cfc692b5e2e196692658aded9
FLUZ,50,0,0,0,0,0,50,,,0x954b5de09a55e59755acbda29e1eb74a45d30175
FRES,4500,2490,0,0,0,0,6990,0.0000215,0.150285,0x351d5ea36941861d0c03fdfb24a8c2cb106e068b
FTX,20,0,0,0,0,0,20,0.000001111,0.00002222,0xd559f20296ff4895da39b5bd9add54b442596a61
FUND,400,0,0,0,0,0,400,,,0xd20bcbd56d9d551cac10a6bc2a83635bfb72f3f4
GDP,3968.160318,0,0,0,0,0,3968.160318,,,0xd19d8d78fab2df53ac21c54dbcf0e077433c2e93
GIFT,1000,0,0,0,0,0,1000,,,0xa5996f6b731b349e25d7d5f4dd93a5ce9947841f
GIRL,10000,0,0,0,0,0,10000,,,0x13bdd7dcc28b585f193241b31995af22f1b0256e
GLA,5.76923076,0,0,0,0,0,5.76923076,0.000633341,0.0036538903787691605,0x71d01db8d6a2fbea7f8d434599c237980c234e4c
Group,5000,0,0,0,0,0,5000,,,0x386dd8f88994f848763060672580ea61676cd601
GSGC,10000,0,0,0,0,0,10000,,,0x151bc71a40c56c7cb3317d86996fd0b4ff9bd907
HAV,18.8780759,0,249.75,0,0,0,268.6280759,0.000775015,0.20819078824363849,0xf244176246168f24e3187f7288edbca29267739b
HOT,0,0,150792.452830188679245283,0,0,0,150792.452830188679245283,,,0x6c6ee5e31d828de241282b9606c8e98ea48526e2
HOT,6,0,0,0,0,0,6,,,0x9af839687f6c94542ac5ece2e317daae355493a1
HUR,150,0,0,0,0,0,150,,,0xcdb7ecfd3403eef3882c65b761ef9b5054890a47
HYDRO,222222,0,0,0,0,0,222222,,,0x12fb5d5802c3b284761d76c3e723ea913877afba
HYDRO,0,149228.970634517103,0,0,0,0,149228.970634517103,0.000007002,1.044901252382889,0xebbdf302c940c6bfd49c6b165f457fdb324649bc
ICC,176,0,0,0,0,0,176,,,0xedc502b12ced7e16ce21749e7161f9ed22bfca53
ICT,10,0,0,0,0,0,10,,,0xe177ccb051621687bee98bfc4bdea6d479bac83e
ICTA,10,0,0,0,0,0,10,,,0x9e2b209afc38b74b3278b4e3e2e61dcefc752bb2
IgnisLite,276,0,0,0,0,0,276,,,0x9aa9f330ab322e8a6f044c46a109b5910fa373ce
IHT,10,0,0,0,0,0,10,,,0xeda8b016efa8b1161208cf041cd86972eee0f31e
INSUR,100,0,0,0,0,0,100,,,0x6ea6531b603f270d23d9edd2d8279135dc5d6773
IOTAG,1350,0,0,0,0,0,1350,,,0x4eecbf6534d10957e53f4bfe1ae10df2021c1684
IOX,450,0,0,0,0,0,450,,,0x7c817a4806d2dc1fc9c1f8057f6e9aa94a4d6c8e
IOX,450,0,0,0,0,0,450,,,0x96995863e238e78c177ddc5a0c462f1c453fe2ab
IOX,450,0,0,0,0,0,450,,,0xa91b36bc8f837e8ccf56e0fd1e352cafd6863553
IQN,1,0,0,0,0,0,1,,,0x0db8d8b76bc361bacbb72e2c491e06085a97ab31
JC,12650,0,0,0,0,0,12650,0.0000001,0.0012649999999999998,0xe2d82dc7da0e6f882e96846451f4fabcc8f90528
JKC,100,0,0,0,0,0,100,,,0x49dcd92f701db0fef57c068b31daa4470b051f35
KFC!,8888,0,0,0,0,0,8888,,,0xb810ad9007e4f2d9aab2e7181a0385d02437ea6e
KITTEN,500,0,0,0,0,0,500,0.0000001112,0.0000556,0xac2bd14654bbf22f9d8f20c7b3a70e376d3436b4
LINO,15,0,0,0,0,0,15,,,0xba51ff3802aa3170ce7ac7ac001831ca3eb6eeea
LST,200,0,0,0,0,0,200,0.00000811,0.001622,0x4de2573e27e648607b50e1cfff921a33e4a34405
LTCP,4200,0,0,0,0,0,4200,,,0x8d60a9dd4013183a1f5ee7bf5d84e7fe34ce08d6
LXT,10,0,0,0,0,0,10,,,0xbc46d9961a3932f7d6b64abfdec80c1816c4b835
MAN,10,0,0,0,0,0,10,0.00145045,0.0145045,0xe25bcec5d3801ce3a794079bf94adf1b8ccd802d
ManitoS,50000,0,0,0,0,0,50000,,,0xfafae755cbaf09cff8f5b0a0f1e0a4a719a9c32a
MGX,1,0,0,0,0,0,1,0.00007505,0.00007505,0xc79d440551a03f84f863b1f259f135794c8a7190
MK,100000,0,0,0,0,0,100000,0.000000146,0.014600000000000002,0x95abb152ed410cc4b6dffb3ed41d01015bdbb5d2
MKF,100000,0,0,0,0,0,100000,,,0x3e01b9ea9db8f17ab1825d848b2f2e04f57caf09
MOAT,100,0,0,0,0,0,100,,,0x4540fcf016bcb67290c3e14238702c64e6a51600
NCASH,200,0,0,0,0,0,200,0.000032133,0.006426599999999999,0x809826cceab68c387726af962713b64cb5cb3cca
NOX,2,0,0,0,0,0,2,,,0xec46f8207d766012454c408de210bcbc2243e71c
NYBC,3194.42105547,0,0,0,0,0,3194.42105547,,,0x041fe8df8b4aaa868941eb877952f17babe57da5
OCN,5,0,0,0,0,0,5,0.00003001,0.00015005,0x4092678e4e78230f46a1534c0fbc8fa39780892b
PAL,100,0,0,0,0,0,100,0.000045001,0.0045001,0xfedae5642668f8636a11987ff386bfd215f942ee
PAR,3000,0,0,0,0,0,3000,0.0000006,0.0018,0x1beef31946fbbb40b877a72e4ae04a8d1a5cee06
PARETO,25,0,0,0,0,0,25,0.000070777,0.001769425,0xea5f88e54d982cbb0c441cde4e79bc305e5b43bc
PCL,1050,0,0,0,0,0,1050,0.000004551,0.00477855,0x3618516f45cd3c913f81f9987af41077932bc40d
PETRO,10000,0,0,0,0,0,10000,,,0x44af78a78e3c69166af15f470f9bd1c306c717e6
PNS,80081.35,0,0,0,0,0,80081.35,,,0xce853db3359326db6d03981c9fb42983bbcdd007
PNT,10,0,0,0,0,0,10,,,0x53066cddbc0099eb6c96785d9b3df2aaeede5da3
Posc.xyz,31000,0,0,0,0,0,31000,,,0xec3afd63f1c0633b98b2eaa7f0f80407426066ec
PRO,88888.88,0,0,0,0,0,88888.88,,,0x8377ee6d3545bc6ff1425ee3015dc648b149c7b2
PXC,10,0,0,0,0,0,10,,,0xc27c95350ecd634c80df89db0f10cd5c24b7b11f
RBLX,7.5000000000000000000,0,0,0,0,0,7.5000000000000000000,,,0xfc2c4d8f95002c14ed0a7aa65102cac9e5953b5e
RC,20,0,0,0,0,0,20,0.0000021,0.000042,0xd6e49800decb64c0e195f791348c1e87a5864fd7
RCT,10,0,0,0,0,0,10,,,0x13f25cd52b21650caa8225c9942337d914c9b030
RETN,40.018,0,0,0,0,0,40.018,,,0x2add07c4d319a1211ed6362d8d0fbe5ef56b65f6
RNT,20,0,0,0,0,0,20,0.00004000151001,0.0008000302002,0xff603f43946a3a28df5e6a73172555d8c8b02386
SDZ,6000,0,0,0,0,0,6000,,,0x01995786f1435743c42b7f2276c496a610b58612
SFU,17,0,0,0,0,0,17,0.00005,0.0008500000000000001,0x5b135d7e2774c801a73208f258123d7623e07784
